BANCO,CONTA CORRENTE,FONTE DE RECURSO,PROGRAMAS E CONVÊNIOS,DESCRIÇÃO,SECRETARIA,N° SEI,OBSERVAÇÕES,RESPONSÁVEL
BANCO DO BRASIL,89412-5,1556,Transferência de Valor,LEI PELÉ Paraná Esporte,SESP,,,ERICK
BANCO DO BRASIL,108828-9,107,Programa,Quota Salário Educação,SEDUC,,somente publica repasse,CLÁUDIA
BANCO DO BRASIL,112363-7,150,Antiga 65656-9,PETE - Recurso Estadual,SEDUC,,somente publica repasse,CAMILA
BANCO DO BRASIL,117464-9,41626,AFPR,Equipamentos Rodoviários - Fomento Paraná,SEMUSP,,,ERICK
BANCO DO BRASIL,2.000.900-3,41629,Financiamento,Contrato I - 20/00900-3 - LEI 10.802/2018,SESP / SEMOP,76257/2022.46,Centro Esportivo Zona 05 (Projetos); Centro Esportivo Zona 05 (Obras); Centro Esportivo Vila Operária; Aquisição de parques de inclusão;,CLÁUDIA
BANCO DO BRASIL,2.000.957-7,41630,Financiamento,Contrato II - 20/00957-7 - LEI 10.803/2018,SESP / SEMOP,,,CLÁUDIA
BANCO DO BRASIL,109078-X,120,SIGPC,PNATE - Recurso Federal,SEDUC,,somente publica repasse,CAMILA
BANCO DO BRASIL,114131-7,138,SIGPC,PNAE - Recurso Federal,SEDUC,,somente publica repasse,CLÁUDIA
BANCO DO BRASIL,140948-4,138,SIGPC,PNAE/2024 - Recurso Federal,SEDUC,,somente publica repasse,CLÁUDIA
BANCO DO BRASIL,132475-6,31184,Transfere.gov.br 905901/20,Aquisição de Equipamentos para Guarda Municipal (Sargento Fahur),SSM,00094513/2022.88,aguardando análise da PCF,CAMILA
BANCO DO BRASIL,140191-2,1249,Transfere.gov.br 941907/23,Aquisição de máquina agrícola (Rolo Compactador),SETRAB,SEI EXECUÇÃO 145040/2023.97,FEDERAL,ERICK
BANCO DO BRASIL,140490-3,1255,Transferegov 952433/23,Apresentações cênicas educacionais/aquisição de bens móveis e veículos,SAS,SEI EXECUÇÃO 00150151/2023.98,FEDERAL - Solicitada prorrogação de prazo em 28/04/2026 - 23/06/2027 (12 meses),CAMILA
BANCO DO BRASIL,143599-X,1286,Transferegov 965369/24,Aquisição de Máquinas e Equipamentos,SETRAB,SEI EXECUÇÃO 4693/2025.25 SEI LICITAÇÃO 7727/2025.08 SEI FORMALIZAÇÃO 59821/2024.37,FEDERAL,CAMILA
BANCO DO BRASIL,143652-X,1287,Transferegov 971166/24,"Aquisição de Equipamentos, Mobiliários e Veículos",SEJUC,00005791/2025.61,FEDERAL,ERICK
BANCO DO BRASIL,131520-X,1595,Transferência Especial,Sem objeto definido / Capital Em. Parl. 202040660010,SEMULHER,PL Ação: 0903-004065/2020,,ERICK
BANCO DO BRASIL,133308-9,1694,Transferência Especial,Sem objeto definido / Capital (Ricardo Barros) Em. Parl. 202133320001,SEMULHER,PL Ação: 09032021-011046/2021,SEI 01.04.00019720/2022.56,CLÁUDIA
BANCO DO BRASIL,134990-2,31192,Transferência Especial,Sem objeto definido / Capital (Sargento Fahur) Em. Parl. 20224066004 (N° CORRETO 202240660004??),SAS/SETRAB/AMITECH,PL Ação: 09032022-021090/2022,"SETRAB 736.682,00///// SAS 100.000,00 /// AMITECH 250.000,00",CLÁUDIA
BANCO DO BRASIL,138628-X,31217,Transferência Especial,Emenda Parlamentar n° 202338360004 - Paulo Eduardo Martins,SEMOP/SAÚDE,PL Ação 09032023-036661 / 2023,"R$ 300.000,00",CLÁUDIA
BANCO DO BRASIL,138628-X,31218,Transferência Especial,Emenda Parlamentar n° 202330840002 - Diego Garcia,SELURB,PL Ação 09032023-035739 / 2023,"R$ 500.000,00 (AQUIS. CAMINHÃO PIPA)",CLÁUDIA
BANCO DO BRASIL,138628-X,31219,Transferência Especial,Emenda Parlamentar n° 202333320002 - Ricardo Barros - Feiras Livres,SETRAB,PL Ação 09032023-035917 / 2023,"R$ 400.000,00",ERICK
BANCO DO BRASIL,138628-X,31220,Transferência Especial,Emenda Parlamentar n° 202333320002 - Ricardo Barros - Salões Comunitários,AMETRO,PL Ação 09032023-035917 / 2023,"R$ 500.000,00 (FOI TRANSFERIDO P/ EXECUTAR O EIXO MONUMENTAL)",CLÁUDIA
