"data","conta","valor"
"02/07/2026 00:00:00","117959-4","34496.07"
"02/07/2026 00:00:00","117959-4","65133.53"
"02/07/2026 00:00:00","123850-7","6811.65"
"02/07/2026 00:00:00","123850-7","11352.75"
"02/07/2026 00:00:00","123850-7","13320.56"
"02/07/2026 00:00:00","123850-7","15137"
"02/07/2026 00:00:00","123850-7","17407.55"
"02/07/2026 00:00:00","123850-7","18921.25"
"02/07/2026 00:00:00","123850-7","19678.1"
"02/07/2026 00:00:00","123850-7","22335.37"
"02/07/2026 00:00:00","138038-9","30000"
"02/07/2026 00:00:00","138039-7","129282.67"
"02/07/2026 00:00:00","139086-4","118088.69"
"03/07/2026 00:00:00","138038-9","38493.65"
"03/07/2026 00:00:00","146583-X","25018.53"
"03/07/2026 00:00:00","146583-X","42950"
"03/07/2026 00:00:00","146583-X","48020"
"03/07/2026 00:00:00","146583-X","237400"
"03/07/2026 00:00:00","146585-6","2223241.35"
"06/07/2026 00:00:00","138038-9","1500000"
"06/07/2026 00:00:00","146583-X","3500000"
"09/07/2026 00:00:00","138038-9","188888.89"
"09/07/2026 00:00:00","138038-9","369522.92"
"09/07/2026 00:00:00","138038-9","400555.56"
"09/07/2026 00:00:00","138038-9","540555.56"
"09/07/2026 00:00:00","146583-X","21163918.7"
"10/07/2026 00:00:00","138408-2","57822.6"
"10/07/2026 00:00:00","146583-X","11766.71"
"10/07/2026 00:00:00","146583-X","11853.45"
"10/07/2026 00:00:00","146583-X","33000"
"13/07/2026 00:00:00","146583-X","26098.1"
"13/07/2026 00:00:00","146583-X","222709.44"
"13/07/2026 00:00:00","146583-X","334880"
"13/07/2026 00:00:00","146583-X","495863.9"
"15/07/2026 00:00:00","146583-X","6000"
"15/07/2026 00:00:00","146583-X","36874"
"15/07/2026 00:00:00","146583-X","46000"
"15/07/2026 00:00:00","146583-X","85500"
"15/07/2026 00:00:00","146583-X","99631.38"
"15/07/2026 00:00:00","146583-X","104500"
"15/07/2026 00:00:00","146583-X","171786.82"
"15/07/2026 00:00:00","146583-X","241130"
"15/07/2026 00:00:00","146583-X","1099038"
"15/07/2026 00:00:00","146583-X","2288768"
"17/07/2026 00:00:00","146583-X","213039.75"
"20/07/2026 00:00:00","141220-5","1567658.44"
"21/07/2026 00:00:00","112363-7","336157.39"
"27/07/2026 00:00:00","51986-3","192.64"
"29/07/2026 00:00:00","51986-3","1175.42"
"03/08/2026 00:00:00","117959-4","33472.46"
"03/08/2026 00:00:00","117959-4","63183.96"
"03/08/2026 00:00:00","123850-7","6814.57"
"03/08/2026 00:00:00","123850-7","22344.96"
"03/08/2026 00:00:00","123850-7","15143.5"
"03/08/2026 00:00:00","123850-7","13326.28"
"03/08/2026 00:00:00","123850-7","18929.37"
"03/08/2026 00:00:00","123850-7","19686.55"
"03/08/2026 00:00:00","123850-7","17415.02"
"03/08/2026 00:00:00","123850-7","11357.62"
"06/08/2026 00:00:00","138038-9","158631.04"
"06/08/2026 00:00:00","138038-9","72281.04"
"06/08/2026 00:00:00","138038-9","43832.56"
"06/08/2026 00:00:00","138038-9","274910.88"
"06/08/2026 00:00:00","138038-9","26802.38"
"04/08/2026 00:00:00","146583-X","220"
"04/08/2026 00:00:00","146583-X","395784.6"
"04/08/2026 00:00:00","146583-X","1570414.68"
"04/08/2026 00:00:00","146583-X","4355.12"
"04/08/2026 00:00:00","146583-X","81835.08"
"04/08/2026 00:00:00","146583-X","1488"
"04/08/2026 00:00:00","146583-X","434663.51"
"04/08/2026 00:00:00","146583-X","3033.18"
"04/08/2026 00:00:00","146583-X","270317.78"
"04/08/2026 00:00:00","146583-X","1524428.22"
"04/08/2026 00:00:00","146583-X","63611.5"
"04/08/2026 00:00:00","146583-X","184699.16"
"04/08/2026 00:00:00","146583-X","635855.56"
"04/08/2026 00:00:00","146585-6","2252914.64"
"07/08/2026 00:00:00","146583-X","20508155.79"
"07/08/2026 00:00:00","146583-X","2044519.52"
"11/08/2026 00:00:00","138038-9","400555.56"
"11/08/2026 00:00:00","138038-9","400555.56"
"11/08/2026 00:00:00","138038-9","188888.89"
