Data,Conta Corrente,Fonte,Deputado,Emenda,Plano de Ação,Descrição,Secretaria,Classificação,Repasse,Rendimentos,Empenho,Nota,Valor Bruto,IR,ISS,INSS,Valor Liquido nota,Saldo Banco,Anexo NF,LIQ ORDEM,Comprovante Fornecedor,Comprovante IR,Comprovante ISS,Comprovante INSS,PDF Geral,ABA,URL_LINK
2024,141589-1,1268,WELTER,202445000004,09032024-068194,Sem objeto definido,SESP,Receita,1000000,,,,,,,,0,1000000,,,,,,,,1268,-
2024,141589-1,1268,WELTER,202445000004,09032024-068194,Sem objeto definido,SESP,Despesa,,, 32044/2024,105,469,,,,469,999531,1_NE 32044 NF 105.pdf,1_O 32044 NF 105.pdf,1_COMP NF 105.pdf,,,,https://drive.google.com/file/d/1peLGZn1-DLs6ZK8MScOIOqnw24NPLY-o/view?usp=drivesdk,1268,https://drive.google.com/file/d/1peLGZn1-DLs6ZK8MScOIOqnw24NPLY-o/view?usp=drivesdk
2024,141589-1,1268,WELTER,202445000004,09032024-068194,Sem objeto definido,SESP,Despesa,,, 36175/2024,5112,3285,,,,3285,996246,1_NE 36175 NF 5112.pdf,1_O 36175 NF 5112.pdf,1_COMP NF 5112.pdf,,1_ISS NF 5112.pdf,,https://drive.google.com/file/d/1n4d3DtuLK5WeG7V4pMovHmYmeex-SiD2/view?usp=drivesdk,1268,https://drive.google.com/file/d/1n4d3DtuLK5WeG7V4pMovHmYmeex-SiD2/view?usp=drivesdk
2024,141589-1,1268,WELTER,202445000004,09032024-068194,Sem objeto definido,SESP,Despesa,,, 36384/2024,166,15028.8,,,,15028.8,981217.2,1_ NE 36384 NF 166.pdf,1_O 36384 NF 166.pdf,1_COMP NF 166.pdf,,,,https://drive.google.com/file/d/1_DXXyRtP3R4nOWN9VQLf_gRkkryNc7g7/view?usp=drivesdk,1268,https://drive.google.com/file/d/1_DXXyRtP3R4nOWN9VQLf_gRkkryNc7g7/view?usp=drivesdk
2024,141589-1,1268,WELTER,202445000004,09032024-068194,Sem objeto definido,SESP,Despesa,,, 32146/2024,1414,15436.46,,,,15436.46,965780.74,2_NE 32146 NF 1414.pdf,2_O 32146 NF 1414.pdf,2_COMP NF 1414.pdf,2_IR NF 1414.pdf,2_ISS NF 1414.pdf,2_INSS NF 1414.pdf,https://drive.google.com/file/d/1BD7LFYzH8fbodyebr7ojjqWlbSEt9-5A/view?usp=drivesdk,1268,https://drive.google.com/file/d/1BD7LFYzH8fbodyebr7ojjqWlbSEt9-5A/view?usp=drivesdk
2024,141589-1,1268,WELTER,202445000004,09032024-068194,Sem objeto definido,SESP,Despesa,,,36171/2024,1413,30305.88,,,,30305.88,935474.86,3_NE 36171 NF 1413.pdf,3_O 36171 NF 1413.pdf,3_COMP NF 1413.pdf,3_IR NF 1413.pdf,3_ISS NF 1413.pdf,3_INSS NF 1413.pdf,https://drive.google.com/file/d/1i8vcsqP8XuU0pKZojT1tVY0eIxNA8Yex/view?usp=drivesdk,1268,https://drive.google.com/file/d/1i8vcsqP8XuU0pKZojT1tVY0eIxNA8Yex/view?usp=drivesdk
2024,141589-1,1268,WELTER,202445000004,09032024-068194,Sem objeto definido,SESP,Despesa,,,44791/2024, AMBP,48600,,,,48600,886874.86,4_NE 44791 Repasse de Verba - AMBP.pdf,4_O 44791 - Repasse de verba.pdf,4_COMP NE 44791 - Repasse de verba.pdf,,,,https://drive.google.com/file/d/1mmFuAfmv1vdVKqxOARyPwBGhf9egyps7/view?usp=drivesdk,1268,https://drive.google.com/file/d/1mmFuAfmv1vdVKqxOARyPwBGhf9egyps7/view?usp=drivesdk
2024,141589-1,1268,WELTER,202445000004,09032024-068194,Sem objeto definido,SESP,Despesa,,,43415/2024,reciclismo,18700,,,,18700,868174.86,5_NE 43415 Repasse de Verba -Ciclismo.pdf,5_O 43415 - Repasse de verba.pdf,5_COMP NE 43415 - Repasse de verba.pdf,,,,https://drive.google.com/file/d/1Gpo2t0Q3rRNJ2f3hBXGTLYEkbcOEiB9L/view?usp=drivesdk,1268,https://drive.google.com/file/d/1Gpo2t0Q3rRNJ2f3hBXGTLYEkbcOEiB9L/view?usp=drivesdk
2024,141589-1,1268,WELTER,202445000004,09032024-068194,Sem objeto definido,SESP,Despesa,,,45484/2024,Amavolei,85400,,,,85400,782774.86,6_NE 45484  Repasse de Verba -Amavolei.pdf,6_O 45484 - Repasse de verba.pdf,6_COMP NE 45484 - Repasse de verba.pdf,,,,https://drive.google.com/file/d/1OiOjCVgQ33KuliWu1mSAWpOe7KcR4uNE/view?usp=drivesdk,1268,https://drive.google.com/file/d/1OiOjCVgQ33KuliWu1mSAWpOe7KcR4uNE/view?usp=drivesdk
2024,141589-1,1268,WELTER,202445000004,09032024-068194,Sem objeto definido,SESP,Despesa,,,45650/2024,Amavolei,50000,,,,50000,732774.86,7_NE 45650 Repasse de Verba - Amavolei.pdf,7_O 45650 - Repasse de verba.pdf,7_COMP NE 45650 - Repasse de verba.pdf,,,,https://drive.google.com/file/d/1oGf00vBX7uUepwNLCqLsiVvauUp5dLDk/view?usp=drivesdk,1268,https://drive.google.com/file/d/1oGf00vBX7uUepwNLCqLsiVvauUp5dLDk/view?usp=drivesdk
